Romaji;Hiragana;Katakana;Romaji only?
a;あ;ア;0
i;い;イ;0
u;う;ウ;0
e;え;エ;0
o;お;オ;0
ka;か;カ;0
ki;き;キ;0
ku;く;ク;0
ke;け;ケ;0
ko;こ;コ;0
ga;が;ガ;0
gi;ぎ;ギ;0
gu;ぐ;グ;0
ge;げ;ゲ;0
go;ご;ゴ;0
sa;さ;サ;0
shi;し;シ;0
si;し;シ;1
su;す;ス;0
se;せ;セ;0
so;そ;ソ;0
za;ざ;ザ;0
zi;じ;ジ;1
ji;じ;ジ;0
zu;ず;ズ;0
ze;ぜ;ゼ;0
zo;ぞ;ゾ;0
ta;た;タ;0
chi;ち;チ;0
tu;つ;ツ;1
tsu;つ;ツ;0
te;て;テ;0
to;と;ト;0
da;だ;ダ;0
di;ぢ;ヂ;0
du;づ;ヅ;0
de;で;デ;0
do;ど;ド;0
na;な;ナ;0
ni;に;ニ;0
nu;ぬ;ヌ;0
ne;ね;ネ;0
no;の;ノ;0
ha;は;ハ;0
hi;ひ;ヒ;0
hu;ふ;フ;1
fu;ふ;フ;0
he;へ;ヘ;0
ho;ほ;ホ;0
ba;ば;バ;0
bi;び;ビ;0
bu;ぶ;ブ;0
be;べ;ベ;0
bo;ぼ;ボ;0
pa;ぱ;パ;0
pi;ぴ;ピ;0
pu;ぷ;プ;0
pe;ぺ;ペ;0
po;ぽ;ポ;0
ma;ま;マ;0
mi;み;ミ;0
mu;む;ム;0
me;め;メ;0
mo;も;モ;0
ya;や;ヤ;0
yu;ゆ;ユ;0
yo;よ;ヨ;0
ra;ら;ラ;0
ri;り;リ;0
ru;る;ル;0
re;れ;レ;0
ro;ろ;ロ;0
wa;わ;ワ;0
wi;ゐ;ヰ;0
we;ゑ;ヱ;0
wo;を;ヲ;0
n;ん;ン;0
nn;ん;ン;1
kya;きゃ;キャ;0
kyu;きゅ;キュ;0
kyo;きょ;キョ;0
gya;ぎゃ;ギャ;0
gyu;ぎゅ;ギュ;0
gyo;ぎょ;ギョ;0
sha;しゃ;シャ;0
shu;しゅ;シュ;0
sho;しょ;ショ;0
ja;じゃ;ジャ;0
zya;じゃ;ジャ;1
ju;じゅ;ジュ;0
zyu;じゅ;ジュ;1
jo;じょ;ジョ;0
zyo;じょ;ジョ;1
cha;ちゃ;チャ;0
tya;ちゃ;チャ;1
chu;ちゅ;チュ;0
tyu;ちゅ;チュ;1
cho;ちょ;チョ;0
tyo;ちょ;チョ;1
nya;にゃ;ニャ;0
nyu;にゅ;ニュ;0
nyo;にょ;ニョ;0
hya;ひゃ;ヒャ;0
hyu;ひゅ;ヒュ;0
hyo;ひょ;ヒョ;0
bya;びゃ;ビャ;0
byu;びゅ;ビュ;0
byo;びょ;ビョ;0
pya;ぴゃ;ピャ;0
pyu;ぴゅ;ピュ;0
pyo;ぴょ;ピョ;0
mya;みゃ;ミャ;0
myu;みゅ;ミュ;0
myo;みょ;ミョ;0
rya;りゃ;リャ;0
ryu;りゅ;リュ;0
ryo;りょ;リョ;0
-;ー;ー;1
